,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
08:30-09:00,100.0,77.77777777777777,16.666666666666668,83.33333333333333,44.444444444444436,100.0,40.0,50.0,80.0,33.333333333333336,66.66666666666667,60.0
09:00-09:30,100.0,80.0,20.0,90.0,33.33333333333333,100.0,44.0,60.0,80.0,20.0,65.0,60.0
09:30-10:00,100.0,86.66666666666666,30.0,100.0,33.33333333333333,100.0,44.0,55.0,80.0,30.0,50.0,50.0
10:00-10:30,100.0,83.33333333333331,25.0,100.0,49.99999999999999,100.0,40.0,41.666666666666664,83.33333333333333,33.333333333333336,62.5,60.0
10:30-11:00,100.0,79.99999999999997,30.0,100.0,44.444444444444436,100.0,52.0,55.0,73.33333333333333,20.0,54.166666666666664,63.333333333333336
11:00-11:30,100.0,83.33333333333333,25.0,100.0,46.66666666666665,100.0,50.0,62.5,80.0,33.333333333333336,90.0,81.33333333333333
11:30-12:00,100.0,80.0,30.0,100.0,53.33333333333333,100.0,52.0,60.0,80.0,30.0,100.0,80.0
12:00-12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30-13:00,0.0,0.0,0.0,100.0,22.222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-13:30,0.0,0.0,0.0,100.0,38.88888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:30-14:00,90.0,86.66666666666666,10.0,0.0,0.0,100.0,44.0,50.0,0.0,30.0,0.0,0.0
14:00-14:30,90.0,86.66666666666666,20.0,0.0,0.0,100.0,60.0,50.0,80.0,30.0,50.0,66.66666666666666
14:30-15:00,66.66666666666667,77.77777777777777,25.0,0.0,0.0,100.0,46.666666666666664,50.0,53.333333333333336,25.0,50.0,66.66666666666664
