,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
08:30-09:00,100.0,100.0,0.0,83.33333333333333,0.0,100.0,20.0,50.0,80.0,0.0,50.0,40.0
09:00-09:30,100.0,100.0,0.0,90.0,0.0,100.0,20.0,50.0,80.0,0.0,50.0,40.0
09:30-10:00,100.0,100.0,20.0,100.0,0.0,100.0,24.0,50.0,80.0,0.0,41.666666666666664,33.333333333333336
10:00-10:30,100.0,100.0,0.0,100.0,16.666666666666668,100.0,20.0,25.0,83.33333333333333,8.333333333333334,50.0,40.0
10:30-11:00,100.0,100.0,0.0,100.0,0.0,100.0,32.0,45.0,80.0,0.0,50.0,43.333333333333336
11:00-11:30,100.0,100.0,0.0,100.0,10.0,100.0,20.0,50.0,80.0,16.666666666666668,90.0,68.0
11:30-12:00,100.0,100.0,10.0,100.0,10.0,100.0,20.0,50.0,80.0,0.0,100.0,66.66666666666666
12:00-12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30-13:00,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-13:30,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:30-14:00,75.0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,0.0,0.0,0.0
14:00-14:30,75.0,100.0,0.0,0.0,0.0,100.0,40.0,50.0,60.0,0.0,50.0,66.66666666666666
14:30-15:00,50.0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,40.0,33.333333333333336,50.0,61.11111111111109
