,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
08:30-09:00,100.0,77.77777777777777,11.111111111111109,91.66666666666667,33.333333333333336,100.0,40.0,40.0,80.0,11.111111111111109,58.333333333333336,53.333333333333336
09:00-09:30,100.0,80.0,19.999999999999996,90.0,26.666666666666664,100.0,40.0,52.0,80.0,13.333333333333332,55.0,52.0
09:30-10:00,100.0,79.99999999999997,19.999999999999996,100.0,19.999999999999996,100.0,36.0,44.0,80.0,13.333333333333332,50.0,43.333333333333336
10:00-10:30,100.0,77.77777777777777,22.222222222222218,100.0,38.88888888888888,100.0,36.666666666666664,33.333333333333336,83.33333333333333,22.222222222222218,62.5,53.333333333333336
10:30-11:00,100.0,80.0,13.333333333333332,100.0,33.33333333333333,100.0,48.0,44.0,73.33333333333333,19.999999999999996,45.833333333333336,53.333333333333336
11:00-11:30,100.0,77.77777777777777,22.222222222222218,100.0,33.33333333333333,100.0,40.0,50.0,80.0,16.666666666666664,90.0,76.0
11:30-12:00,100.0,80.0,13.333333333333332,100.0,40.0,100.0,36.0,48.0,80.0,19.999999999999996,100.0,80.0
12:00-12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30-13:00,0.0,0.0,0.0,100.0,22.222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-13:30,0.0,0.0,0.0,100.0,22.222222222222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:30-14:00,85.0,73.33333333333333,13.333333333333332,0.0,0.0,100.0,44.0,40.0,0.0,19.999999999999996,0.0,0.0
14:00-14:30,80.0,80.0,19.999999999999996,0.0,0.0,100.0,52.0,48.0,60.0,19.999999999999996,50.0,66.66666666666666
14:30-15:00,70.83333333333333,83.33333333333333,11.111111111111109,0.0,0.0,100.0,40.0,40.0,56.666666666666664,11.111111111111109,50.0,66.66666666666664
