,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
08:30-09:00,91.66666666666667,55.55555555555555,33.333333333333336,91.66666666666667,66.66666666666666,100.0,40.0,50.0,73.33333333333333,50.0,66.66666666666667,73.33333333333333
09:00-09:30,100.0,93.33333333333333,40.0,95.0,66.66666666666666,100.0,52.0,60.0,80.0,40.0,70.0,68.0
09:30-10:00,100.0,93.33333333333333,40.0,100.0,59.999999999999986,100.0,52.0,70.0,80.0,30.0,58.333333333333336,60.0
10:00-10:30,100.0,77.77777777777776,33.333333333333336,100.0,49.99999999999999,100.0,53.333333333333336,29.166666666666668,83.33333333333333,50.0,75.0,70.0
10:30-11:00,100.0,66.66666666666666,40.0,100.0,33.33333333333333,100.0,64.0,40.0,70.0,40.0,54.166666666666664,56.666666666666664
11:00-11:30,100.0,66.66666666666664,33.333333333333336,100.0,46.666666666666664,100.0,60.0,50.0,80.0,25.0,90.0,89.33333333333333
11:30-12:00,100.0,66.66666666666666,40.0,100.0,40.0,100.0,68.0,50.0,80.0,40.0,100.0,100.0
12:00-12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:30-13:00,0.0,0.0,0.0,100.0,44.444444444444436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:00-13:30,0.0,0.0,0.0,100.0,55.55555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13:30-14:00,75.0,66.66666666666666,40.0,0.0,0.0,100.0,76.0,50.0,0.0,30.0,0.0,0.0
14:00-14:30,75.0,66.66666666666666,30.0,0.0,0.0,100.0,72.0,50.0,60.0,50.0,50.0,66.66666666666666
14:30-15:00,58.333333333333336,66.66666666666664,25.0,0.0,0.0,100.0,56.666666666666664,50.0,46.666666666666664,41.666666666666664,33.333333333333336,66.66666666666664
